Group,node_label,Country Code,proj-x,proj-y,node_id,Cluster,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Degree,In-degree,Out-degree,Average neighbor degree,Degree centrality,In-degree centrality,Out-degree centrality,Closeness centrality
G1,India,IND,0.421647,0.418132,181,C2,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,12,6,6,2.33333,0.130435,0.0652174,0.0652174,0
G1,Puerto Rico,PRI,0.475506,0.419284,131,C3,13,13,13,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Sri Lanka,LKA,0.414091,0.420044,72,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,0,0,0,,0,0,0,0
G1,Uzbekistan,UZB,0.512576,0.425719,121,C3,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,0,0,0,,0,0,0,0
G1,Austria,AUT,0.481259,0.424506,71,C2,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,13,13,13,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Azerbaijan,AZE,0.524991,0.42213,208,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,4,2,2,17,0.0434783,0.0217391,0.0217391,0
G1,Sweden,SWE,0.480705,0.412716,69,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,New Zealand,NZL,0.444371,0.430337,167,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,,0,0,0,0
G1,United Kingdom,GBR,0.457956,0.431483,23,C3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,5,5,1.2,0.108696,0.0543478,0.0543478,0
G1,Estonia,EST,0.526874,0.430175,199,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,,0,0,0,0
G1,Burkina Faso,BFA,1.14347,1.07957,149,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,0,0.0217391,0.0108696,0.0108696,0
G1,Spain,ESP,0.460214,0.455247,205,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,3,3,0,0.0652174,0.0326087,0.0326087,0
G1,Canada,CAN,0.46869,0.430064,38,C5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,1,4,0.0217391,0.0108696,0.0108696,0
G1,Kyrgyz Republic,KGZ,0.520153,0.4273,137,C4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,0,0,0,,0,0,0,0
G1,Paraguay,PRY,0.471667,0.472383,112,C2,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,2,1,1,0,0.0217391,0.0108696,0.0108696,0
