node_label,Country Code,Cluster,index,node_id,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Burkina Faso,BFA,C5,60,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Singapore,SGP,C4,61,62,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Tajikistan,TJK,C2,62,63,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Virgin Islands (U.S.),VIR,C1,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,C3,64,65,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12
West Bank and Gaza,PSE,C5,65,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Philippines,PHL,C3,66,67,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,13,13
Kyrgyz Republic,KGZ,C2,67,68,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
Netherlands,NLD,C3,68,69,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Poland,POL,C2,69,70,0,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mali,MLI,C2,70,71,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
India,IND,C4,71,72,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8
Belarus,BLR,C2,72,73,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Hong Kong SAR, China",HKG,C2,73,74,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Korea, Dem. Rep.",,,74,75,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,75,76,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,C2,76,77,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Bangladesh,BGD,C4,77,78,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sri Lanka,LKA,C2,78,79,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
Ireland,IRL,C5,79,80,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
United Kingdom,GBR,C3,80,81,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Zimbabwe,ZWE,C4,81,82,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cameroon,CMR,C4,82,83,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Kenya,KEN,C5,83,84,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12
Algeria,DZA,C5,84,85,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Austria,AUT,C5,85,86,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,13,13,13
France,FRA,C5,86,87,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Moldova,MDA,C2,87,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11
Myanmar,MMR,C4,88,89,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Norway,NOR,C5,89,90,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lithuania,LTU,C5,90,91,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Congo, Dem. Rep.",COD,C4,91,92,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Vietnam,,,92,93,,,,,,,,,,,,,,,,,,,,,
